note_id,participant_id,participant_name,section_key,note_type,text,note_text_wrapped,theme,date,time,location,theme_cluster,theme_auto
18,__1_____________________,,observation_notes,observation,Mop. aIwhakever isneaded fros tha. groceries) shape financial discipline,"Mop. aIwhakever isneaded
fros tha. groceries) shape
financial discipline",Grocery / Participant / Shopping / Time,,,_T_h_e__R_e_g_e_n_t__>_K__w_ih__tp___&_T_r_a_de_r__do es Participant ID: __1_____________________,1,Grocery / Participant / Shopping / Time
19,__1_____________________,,observation_notes,observation,· Usually shops,· Usually shops,Grocery / Participant / Shopping / Time,,,_T_h_e__R_e_g_e_n_t__>_K__w_ih__tp___&_T_r_a_de_r__do es Participant ID: __1_____________________,1,Grocery / Participant / Shopping / Time
20,__1_____________________,,observation_notes,observation,"once per week (Sunday , · Environmental constraints (shared fridge wh","once per week (Sunday , ·
Environmental constraints
(shared fridge wh",Grocery / Participant / Shopping / Time,,,_T_h_e__R_e_g_e_n_t__>_K__w_ih__tp___&_T_r_a_de_r__do es Participant ID: __1_____________________,1,Grocery / Participant / Shopping / Time
21,__1_____________________,,observation_notes,observation,sometimes gets stuff before back,"sometimes gets stuff before
back",Grocery / Participant / Shopping / Time,,,_T_h_e__R_e_g_e_n_t__>_K__w_ih__tp___&_T_r_a_de_r__do es Participant ID: __1_____________________,1,Grocery / Participant / Shopping / Time
22,__1_____________________,,observation_notes,observation,home; sticks to routines roommates + busy) leads to 1week trips,"home; sticks to routines
roommates + busy) leads to
1week trips",Grocery / Participant / Shopping / Time,,,_T_h_e__R_e_g_e_n_t__>_K__w_ih__tp___&_T_r_a_de_r__do es Participant ID: __1_____________________,1,Grocery / Participant / Shopping / Time
23,__1_____________________,,observation_notes,observation,· Lives on Regent ; walks to Kwih trip first · Over shopping is known behavioral tendancy they,"· Lives on Regent ; walks to
Kwih trip first · Over
shopping is known behavioral
tendancy they",Grocery / Participant / Shopping / Time,,,_T_h_e__R_e_g_e_n_t__>_K__w_ih__tp___&_T_r_a_de_r__do es Participant ID: __1_____________________,1,Grocery / Participant / Shopping / Time
24,__1_____________________,,observation_notes,observation,gets beef ($4 79/1b 8180/20 otherwise actively counteract,"gets beef ($4 79/1b 8180/20
otherwise actively
counteract",Grocery / Participant / Shopping / Time,,,_T_h_e__R_e_g_e_n_t__>_K__w_ih__tp___&_T_r_a_de_r__do es Participant ID: __1_____________________,1,Grocery / Participant / Shopping / Time
25,__1_____________________,,observation_notes,observation,$6 + &TJ's or most places),$6 + &TJ's or most places),Overshopping / Trip / Works / Financial,,,_T_h_e__R_e_g_e_n_t__>_K__w_ih__tp___&_T_r_a_de_r__do es Participant ID: __1_____________________,5,Overshopping / Trip / Works / Financial
26,__1_____________________,,observation_notes,observation,+mushrooms bell peppers a one on s · Emotional regulation stratedy motivates routine,"+mushrooms bell peppers a
one on s · Emotional
regulation stratedy
motivates routine",Grocery / Participant / Shopping / Time,,,_T_h_e__R_e_g_e_n_t__>_K__w_ih__tp___&_T_r_a_de_r__do es Participant ID: __1_____________________,1,Grocery / Participant / Shopping / Time
27,__1_____________________,,observation_notes,observation,"c carries them to TJs (does not go back) I same stuff , same time , same plan usually","c carries them to TJs (does
not go back) I same stuff ,
same time , same plan
usually",Grocery / Participant / Shopping / Time,,,_T_h_e__R_e_g_e_n_t__>_K__w_ih__tp___&_T_r_a_de_r__do es Participant ID: __1_____________________,1,Grocery / Participant / Shopping / Time
28,__1_____________________,,observation_notes,observation,↳ why? So doesn't shop around + reduces cognitive load,"↳ why? So doesn't shop
around + reduces cognitive
load",Grocery / Participant / Shopping / Time,,,_T_h_e__R_e_g_e_n_t__>_K__w_ih__tp___&_T_r_a_de_r__do es Participant ID: __1_____________________,1,Grocery / Participant / Shopping / Time
29,__1_____________________,,observation_notes,observation,estconven ! reminds them what they area + decision,"estconven ! reminds them
what they area + decision",Decision / Works / Fresh / Financial,,,_T_h_e__R_e_g_e_n_t__>_K__w_ih__tp___&_T_r_a_de_r__do es Participant ID: __1_____________________,0,Decision / Works / Fresh / Financial
30,__1_____________________,,observation_notes,observation,wied hopping fatigue,wied hopping fatigue,Grocery / Participant / Shopping / Time,,,_T_h_e__R_e_g_e_n_t__>_K__w_ih__tp___&_T_r_a_de_r__do es Participant ID: __1_____________________,1,Grocery / Participant / Shopping / Time
31,__1_____________________,,observation_notes,observation,have (gets easily distracted a buys,"have (gets easily distracted
a buys",Grocery / Participant / Shopping / Time,,,_T_h_e__R_e_g_e_n_t__>_K__w_ih__tp___&_T_r_a_de_r__do es Participant ID: __1_____________________,1,Grocery / Participant / Shopping / Time
32,__1_____________________,,observation_notes,observation,"มื้อ !""ไo av too much otherwise)","มื้อ !""ไo av too much
otherwise)",Grocery / Participant / Shopping / Time,,,_T_h_e__R_e_g_e_n_t__>_K__w_ih__tp___&_T_r_a_de_r__do es Participant ID: __1_____________________,1,Grocery / Participant / Shopping / Time
33,__1_____________________,,observation_notes,observation,· Used phone /bus schedule (Goog Maps),"· Used phone /bus schedule
(Goog Maps)",Grocery / Participant / Shopping / Time,,,_T_h_e__R_e_g_e_n_t__>_K__w_ih__tp___&_T_r_a_de_r__do es Participant ID: __1_____________________,1,Grocery / Participant / Shopping / Time
34,__1_____________________,,observation_notes,observation,+ reuseable it's canvas bag,+ reuseable it's canvas bag,Grocery / Participant / Shopping / Time,,,_T_h_e__R_e_g_e_n_t__>_K__w_ih__tp___&_T_r_a_de_r__do es Participant ID: __1_____________________,1,Grocery / Participant / Shopping / Time
35,__1_____________________,,observation_notes,observation,· Took D-bus to TJ's to avoid long walk,"· Took D-bus to TJ's to
avoid long walk",Grocery / Participant / Shopping / Time,,,_T_h_e__R_e_g_e_n_t__>_K__w_ih__tp___&_T_r_a_de_r__do es Participant ID: __1_____________________,1,Grocery / Participant / Shopping / Time
36,__1_____________________,,observation_notes,observation,Isomes walks if weather nice has time,"Isomes walks if weather nice
has time",Grocery / Participant / Shopping / Time,,,_T_h_e__R_e_g_e_n_t__>_K__w_ih__tp___&_T_r_a_de_r__do es Participant ID: __1_____________________,1,Grocery / Participant / Shopping / Time
37,__1_____________________,,observation_notes,observation,· SNAP : $291/mon,· SNAP : $291/mon,Grocery / Participant / Shopping / Time,,,_T_h_e__R_e_g_e_n_t__>_K__w_ih__tp___&_T_r_a_de_r__do es Participant ID: __1_____________________,1,Grocery / Participant / Shopping / Time
38,__1_____________________,,observation_notes,observation,· Shops at Kwik Trip first to see if any good deals,"· Shops at Kwik Trip first
to see if any good deals",Grocery / Participant / Shopping / Time,,,_T_h_e__R_e_g_e_n_t__>_K__w_ih__tp___&_T_r_a_de_r__do es Participant ID: __1_____________________,1,Grocery / Participant / Shopping / Time
39,__1_____________________,,observation_notes,observation,sometimes gets stuff only there if TJ's closed,"sometimes gets stuff only
there if TJ's closed",Grocery / Participant / Shopping / Time,,,_T_h_e__R_e_g_e_n_t__>_K__w_ih__tp___&_T_r_a_de_r__do es Participant ID: __1_____________________,1,Grocery / Participant / Shopping / Time
40,__1_____________________,,observation_notes,observation,· Usually buys beef at Kwik Trip because cheaper,"· Usually buys beef at Kwik
Trip because cheaper",Grocery / Participant / Shopping / Time,,,_T_h_e__R_e_g_e_n_t__>_K__w_ih__tp___&_T_r_a_de_r__do es Participant ID: __1_____________________,1,Grocery / Participant / Shopping / Time
41,__1_____________________,,observation_notes,observation,80/20 $4.79 roll for pasta,80/20 $4.79 roll for pasta,Grocery / Participant / Shopping / Time,,,_T_h_e__R_e_g_e_n_t__>_K__w_ih__tp___&_T_r_a_de_r__do es Participant ID: __1_____________________,1,Grocery / Participant / Shopping / Time
42,__1_____________________,,observation_notes,observation,· Buys rest at Trader Joe's,· Buys rest at Trader Joe's,Grocery / Participant / Shopping / Time,,,_T_h_e__R_e_g_e_n_t__>_K__w_ih__tp___&_T_r_a_de_r__do es Participant ID: __1_____________________,1,Grocery / Participant / Shopping / Time
43,__1_____________________,,observation_notes,observation,closer + full service,closer + full service,Grocery / Participant / Shopping / Time,,,_T_h_e__R_e_g_e_n_t__>_K__w_ih__tp___&_T_r_a_de_r__do es Participant ID: __1_____________________,1,Grocery / Participant / Shopping / Time
44,__1_____________________,,observation_notes,observation,· Sometimes stops at Stop & Shop (open late) but doesn't accept SNAP,"· Sometimes stops at Stop &
Shop (open late) but doesn't
accept SNAP",Grocery / Participant / Shopping / Time,,,_T_h_e__R_e_g_e_n_t__>_K__w_ih__tp___&_T_r_a_de_r__do es Participant ID: __1_____________________,1,Grocery / Participant / Shopping / Time
45,__1_____________________,,observation_notes,observation,only buys snack there,only buys snack there,Grocery / Participant / Shopping / Time,,,_T_h_e__R_e_g_e_n_t__>_K__w_ih__tp___&_T_r_a_de_r__do es Participant ID: __1_____________________,1,Grocery / Participant / Shopping / Time
46,__1_____________________,,observation_notes,observation,· Prefers to carry Kwik Trip items to Trader Joe's instead of dropping off at home,"· Prefers to carry Kwik Trip
items to Trader Joe's
instead of dropping off at
home",Grocery / Participant / Shopping / Time,,,_T_h_e__R_e_g_e_n_t__>_K__w_ih__tp___&_T_r_a_de_r__do es Participant ID: __1_____________________,1,Grocery / Participant / Shopping / Time
47,__1_____________________,,observation_notes,observation,prevents overshopping at TJ's + speeds trip,"prevents overshopping at
TJ's + speeds trip",Overshopping / Trip / Works / Financial,,,_T_h_e__R_e_g_e_n_t__>_K__w_ih__tp___&_T_r_a_de_r__do es Participant ID: __1_____________________,5,Overshopping / Trip / Works / Financial
48,__1_____________________,,observation_notes,observation,· Brings reusable bag,· Brings reusable bag,Grocery / Participant / Shopping / Time,,,_T_h_e__R_e_g_e_n_t__>_K__w_ih__tp___&_T_r_a_de_r__do es Participant ID: __1_____________________,1,Grocery / Participant / Shopping / Time
49,__1_____________________,,observation_notes,observation,· Whole trip ~ under an hour (approx),"· Whole trip ~ under an hour
(approx)",Grocery / Participant / Shopping / Time,,,_T_h_e__R_e_g_e_n_t__>_K__w_ih__tp___&_T_r_a_de_r__do es Participant ID: __1_____________________,1,Grocery / Participant / Shopping / Time
51,__1_____________________,,observation_notes,observation,· Time/effort is key driver (distance + schedule),"· Time/effort is key driver
(distance + schedule)",Grocery / Participant / Shopping / Time,,,_T_h_e__R_e_g_e_n_t__>_K__w_ih__tp___&_T_r_a_de_r__do es Participant ID: __1_____________________,1,Grocery / Participant / Shopping / Time
52,__1_____________________,,observation_notes,observation,· SNAP acceptance shapes store choice,"· SNAP acceptance shapes
store choice",Grocery / Participant / Shopping / Time,,,_T_h_e__R_e_g_e_n_t__>_K__w_ih__tp___&_T_r_a_de_r__do es Participant ID: __1_____________________,1,Grocery / Participant / Shopping / Time
53,__1_____________________,,observation_notes,observation,· Uses “physical burden” as behavioral constraint to reduce overbuying,"· Uses “physical burden” as
behavioral constraint to
reduce overbuying",Grocery / Participant / Shopping / Time,,,_T_h_e__R_e_g_e_n_t__>_K__w_ih__tp___&_T_r_a_de_r__do es Participant ID: __1_____________________,1,Grocery / Participant / Shopping / Time
54,__1_____________________,,observation_notes,observation,· List reduces cognitive load in overstimulating store environment,"· List reduces cognitive
load in overstimulating
store environment",Grocery / Participant / Shopping / Time,,,_T_h_e__R_e_g_e_n_t__>_K__w_ih__tp___&_T_r_a_de_r__do es Participant ID: __1_____________________,1,Grocery / Participant / Shopping / Time
55,__1_____________________,,observation_notes,observation,Activity / Context / Tools / Artifacts,"Activity / Context / Tools /
Artifacts",Grocery / Participant / Shopping / Time,,,_T_h_e__R_e_g_e_n_t__>_K__w_ih__tp___&_T_r_a_de_r__do es Participant ID: __1_____________________,1,Grocery / Participant / Shopping / Time
56,__1_____________________,,observation_notes,observation,· Phone used as companion tool,"· Phone used as companion
tool",Grocery / Participant / Shopping / Time,,,_T_h_e__R_e_g_e_n_t__>_K__w_ih__tp___&_T_r_a_de_r__do es Participant ID: __1_____________________,1,Grocery / Participant / Shopping / Time
57,__1_____________________,,observation_notes,observation,Google Maps for bus schedule (especially return trip),"Google Maps for bus schedule
(especially return trip)",Grocery / Participant / Shopping / Time,,,_T_h_e__R_e_g_e_n_t__>_K__w_ih__tp___&_T_r_a_de_r__do es Participant ID: __1_____________________,1,Grocery / Participant / Shopping / Time
58,__1_____________________,,observation_notes,observation,· Environment: Regent Apartments; shared bedroom + shared fridge with roommate(s),"· Environment: Regent
Apartments; shared bedroom +
shared fridge with
roommate(s)",Grocery / Participant / Shopping / Time,,,_T_h_e__R_e_g_e_n_t__>_K__w_ih__tp___&_T_r_a_de_r__do es Participant ID: __1_____________________,1,Grocery / Participant / Shopping / Time
59,__1_____________________,,observation_notes,observation,· Storage constraints limit bulk/long-term meal prep,"· Storage constraints limit
bulk/long-term meal prep",Grocery / Participant / Shopping / Time,,,_T_h_e__R_e_g_e_n_t__>_K__w_ih__tp___&_T_r_a_de_r__do es Participant ID: __1_____________________,1,Grocery / Participant / Shopping / Time
60,__1_____________________,,observation_notes,observation,· Busy schedule (quant major) makes weekly Sunday trip ideal,"· Busy schedule (quant
major) makes weekly Sunday
trip ideal",Grocery / Participant / Shopping / Time,,,_T_h_e__R_e_g_e_n_t__>_K__w_ih__tp___&_T_r_a_de_r__do es Participant ID: __1_____________________,1,Grocery / Participant / Shopping / Time
61,__1_____________________,,observation_notes,observation,· Optimize for: low cost + fresh produce + enough food for 3 meals/day + snacks,"· Optimize for: low cost +
fresh produce + enough food
for 3 meals/day + snacks",Grocery / Participant / Shopping / Time,,,_T_h_e__R_e_g_e_n_t__>_K__w_ih__tp___&_T_r_a_de_r__do es Participant ID: __1_____________________,1,Grocery / Participant / Shopping / Time
62,__1_____________________,,observation_notes,observation,· Weekly budget goal: $40–$50 groceries,"· Weekly budget goal:
$40–$50 groceries",Grocery / Participant / Shopping / Time,,,_T_h_e__R_e_g_e_n_t__>_K__w_ih__tp___&_T_r_a_de_r__do es Participant ID: __1_____________________,1,Grocery / Participant / Shopping / Time
63,__1_____________________,,observation_notes,observation,· Uses remaining SNAP funds for snacks + 1–2 freezer meals for “IDGAF days”,"· Uses remaining SNAP funds
for snacks + 1–2 freezer
meals for “IDGAF days”",Grocery / Participant / Shopping / Time,,,_T_h_e__R_e_g_e_n_t__>_K__w_ih__tp___&_T_r_a_de_r__do es Participant ID: __1_____________________,1,Grocery / Participant / Shopping / Time
64,__1_____________________,,observation_notes,observation,· Tries to reduce meat consumption sometimes (beans/lentils cheaper protein),"· Tries to reduce meat
consumption sometimes
(beans/lentils cheaper
protein)",Grocery / Participant / Shopping / Time,,,_T_h_e__R_e_g_e_n_t__>_K__w_ih__tp___&_T_r_a_de_r__do es Participant ID: __1_____________________,1,Grocery / Participant / Shopping / Time
66,__1_____________________,,observation_notes,observation,· Assumes “nothing really gets better” by shopping around (time > small savings),"· Assumes “nothing really
gets better” by shopping
around (time > small
savings)",Grocery / Participant / Shopping / Time,,,_T_h_e__R_e_g_e_n_t__>_K__w_ih__tp___&_T_r_a_de_r__do es Participant ID: __1_____________________,1,Grocery / Participant / Shopping / Time
67,__1_____________________,,observation_notes,observation,· Trader Joe's seen as best balance of convenience + price for their situation,"· Trader Joe's seen as best
balance of convenience +
price for their situation",Grocery / Participant / Shopping / Time,,,_T_h_e__R_e_g_e_n_t__>_K__w_ih__tp___&_T_r_a_de_r__do es Participant ID: __1_____________________,1,Grocery / Participant / Shopping / Time
68,__1_____________________,,observation_notes,observation,"· Doesn’t vary routine unless special occasion cooking (Midway Asian Foods, Mercado Marimar, etc.)","· Doesn’t vary routine
unless special occasion
cooking (Midway Asian Foods,
Mercado Marimar, etc.)",Grocery / Participant / Shopping / Time,,,_T_h_e__R_e_g_e_n_t__>_K__w_ih__tp___&_T_r_a_de_r__do es Participant ID: __1_____________________,1,Grocery / Participant / Shopping / Time
70,__1_____________________,,breakdowns,breakdown,"{'n': 1, 'text': 'Strong “system” reduces decision fatigue: pantry survey → list → KT price-check → TJ bulk buy → bus home.'}","{'n': 1, 'text': 'Strong
“system” reduces decision
fatigue: pantry survey →
list → KT price-check → TJ
bulk buy → bus home.'}",Grocery / Participant / Shopping / Time,,,_T_h_e__R_e_g_e_n_t__>_K__w_ih__tp___&_T_r_a_de_r__do es Participant ID: __1_____________________,1,Grocery / Participant / Shopping / Time
71,__1_____________________,,breakdowns,breakdown,"{'n': 2, 'text': 'Constraints (SNAP acceptance, distance, transit, shared fridge) *shape* shopping behavior more than “best price.”'}","{'n': 2, 'text':
'Constraints (SNAP
acceptance, distance,
transit, shared fridge)
*shape* shopping behavior
more than “best price.”'}",Grocery / Participant / Shopping / Time,,,_T_h_e__R_e_g_e_n_t__>_K__w_ih__tp___&_T_r_a_de_r__do es Participant ID: __1_____________________,1,Grocery / Participant / Shopping / Time
72,__1_____________________,,breakdowns,breakdown,"{'n': 3, 'text': 'Clever self-control strategy: carry early purchases to reduce overshopping + speed time in-store.'}","{'n': 3, 'text': 'Clever
self-control strategy: carry
early purchases to reduce
overshopping + speed time
in-store.'}",Grocery / Participant / Shopping / Time,,,_T_h_e__R_e_g_e_n_t__>_K__w_ih__tp___&_T_r_a_de_r__do es Participant ID: __1_____________________,1,Grocery / Participant / Shopping / Time
73,__1_____________________,,breakdowns,breakdown,· Overstimulation/long lines at TJ’s on Sunday brunch hours,"· Overstimulation/long lines
at TJ’s on Sunday brunch
hours",Grocery / Participant / Shopping / Time,,,_T_h_e__R_e_g_e_n_t__>_K__w_ih__tp___&_T_r_a_de_r__do es Participant ID: __1_____________________,1,Grocery / Participant / Shopping / Time
74,__1_____________________,,breakdowns,breakdown,· Carrying groceries is “hell” (drives bus use),"· Carrying groceries is
“hell” (drives bus use)",Grocery / Participant / Shopping / Time,,,_T_h_e__R_e_g_e_n_t__>_K__w_ih__tp___&_T_r_a_de_r__do es Participant ID: __1_____________________,1,Grocery / Participant / Shopping / Time
75,__1_____________________,,breakdowns,breakdown,· Limited fridge space (shared),"· Limited fridge space
(shared)",Grocery / Participant / Shopping / Time,,,_T_h_e__R_e_g_e_n_t__>_K__w_ih__tp___&_T_r_a_de_r__do es Participant ID: __1_____________________,1,Grocery / Participant / Shopping / Time
77,__1_____________________,,breakdowns,breakdown,· “Carrying groceries back is kind of hell.”,"· “Carrying groceries back
is kind of hell.”",Grocery / Participant / Shopping / Time,,,_T_h_e__R_e_g_e_n_t__>_K__w_ih__tp___&_T_r_a_de_r__do es Participant ID: __1_____________________,1,Grocery / Participant / Shopping / Time
78,__1_____________________,,breakdowns,breakdown,· “Trader Joe’s is usually as cheap as it gets for my living situation.”,"· “Trader Joe’s is usually
as cheap as it gets for my
living situation.”",Grocery / Participant / Shopping / Time,,,_T_h_e__R_e_g_e_n_t__>_K__w_ih__tp___&_T_r_a_de_r__do es Participant ID: __1_____________________,1,Grocery / Participant / Shopping / Time
79,__1_____________________,,breakdowns,breakdown,· “I get distracted and buy too much otherwise.”,"· “I get distracted and buy
too much otherwise.”",Grocery / Participant / Shopping / Time,,,_T_h_e__R_e_g_e_n_t__>_K__w_ih__tp___&_T_r_a_de_r__do es Participant ID: __1_____________________,1,Grocery / Participant / Shopping / Time
81,__1_____________________,,breakdowns,breakdown,· Grocery list note screenshot,"· Grocery list note
screenshot",Grocery List / List / Grocery / Online,,,_T_h_e__R_e_g_e_n_t__>_K__w_ih__tp___&_T_r_a_de_r__do es Participant ID: __1_____________________,4,Grocery List / List / Grocery / Online
82,__1_____________________,,breakdowns,breakdown,· Street/walking context photos,"· Street/walking context
photos",Grocery / Participant / Shopping / Time,,,_T_h_e__R_e_g_e_n_t__>_K__w_ih__tp___&_T_r_a_de_r__do es Participant ID: __1_____________________,1,Grocery / Participant / Shopping / Time
83,__1_____________________,,breakdowns,breakdown,· Bus stop photo,· Bus stop photo,Grocery / Participant / Shopping / Time,,,_T_h_e__R_e_g_e_n_t__>_K__w_ih__tp___&_T_r_a_de_r__do es Participant ID: __1_____________________,1,Grocery / Participant / Shopping / Time
84,__1_____________________,,breakdowns,breakdown,· Kwik Trip meat cooler photo,"· Kwik Trip meat cooler
photo",Grocery / Participant / Shopping / Time,,,_T_h_e__R_e_g_e_n_t__>_K__w_ih__tp___&_T_r_a_de_r__do es Participant ID: __1_____________________,1,Grocery / Participant / Shopping / Time
85,__1_____________________,,breakdowns,breakdown,· TJ produce aisle photo,· TJ produce aisle photo,Grocery / Participant / Shopping / Time,,,_T_h_e__R_e_g_e_n_t__>_K__w_ih__tp___&_T_r_a_de_r__do es Participant ID: __1_____________________,1,Grocery / Participant / Shopping / Time
86,__1_____________________,,breakdowns,breakdown,· TJ rice aisle photo,· TJ rice aisle photo,Grocery / Participant / Shopping / Time,,,_T_h_e__R_e_g_e_n_t__>_K__w_ih__tp___&_T_r_a_de_r__do es Participant ID: __1_____________________,1,Grocery / Participant / Shopping / Time
87,__1_____________________,,breakdowns,breakdown,· TJ bread aisle photo,· TJ bread aisle photo,Grocery / Participant / Shopping / Time,,,_T_h_e__R_e_g_e_n_t__>_K__w_ih__tp___&_T_r_a_de_r__do es Participant ID: __1_____________________,1,Grocery / Participant / Shopping / Time
88,__1_____________________,,breakdowns,breakdown,Strong “system” reduces decision fatigue: pantry survey → list → KT price-check → TJ bulk buy → bus home.,"Strong “system” reduces
decision fatigue: pantry
survey → list → KT price-
check → TJ bulk buy → bus
home.",Grocery / Participant / Shopping / Time,,,_T_h_e__R_e_g_e_n_t__>_K__w_ih__tp___&_T_r_a_de_r__do es Participant ID: __1_____________________,1,Grocery / Participant / Shopping / Time
89,__1_____________________,,breakdowns,breakdown,"Constraints (SNAP acceptance, distance, transit, shared fridge) *shape* shopping behavior more than “best price.”","Constraints (SNAP
acceptance, distance,
transit, shared fridge)
*shape* shopping behavior
more than “best price.”",Grocery / Participant / Shopping / Time,,,_T_h_e__R_e_g_e_n_t__>_K__w_ih__tp___&_T_r_a_de_r__do es Participant ID: __1_____________________,1,Grocery / Participant / Shopping / Time
90,__1_____________________,,breakdowns,breakdown,Clever self-control strategy: carry early purchases to reduce overshopping + speed time in-store.,"Clever self-control
strategy: carry early
purchases to reduce
overshopping + speed time
in-store.",Grocery / Participant / Shopping / Time,,,_T_h_e__R_e_g_e_n_t__>_K__w_ih__tp___&_T_r_a_de_r__do es Participant ID: __1_____________________,1,Grocery / Participant / Shopping / Time
92,__1_____________________,,biggest_surprise,insight,· Extremely consistent routine; minimal store switching or delivery; little experimentation once system works.,"· Extremely consistent
routine; minimal store
switching or delivery;
little experimentation once
system works.",Grocery / Participant / Shopping / Time,,,_T_h_e__R_e_g_e_n_t__>_K__w_ih__tp___&_T_r_a_de_r__do es Participant ID: __1_____________________,1,Grocery / Participant / Shopping / Time
